Year,Type,Value
2009,Printing and writing paper (tonnes),"4,429,000"
2010,Printing and writing paper (tonnes),"4,070,000"
2011,Printing and writing paper (tonnes),"3,774,000"
2012,Printing and writing paper (tonnes),"3,311,000"
2013,Printing and writing paper (tonnes),"3,466,000"
2014,Printing and writing paper (tonnes),"3,255,000"
2015,Printing and writing paper (tonnes),"3,036,000"
2016,Printing and writing paper (tonnes),"2,995,000"
2017,Printing and writing paper (tonnes),"2,975,000"
2018,Printing and writing paper (tonnes),"3,053,000"
2019,Printing and writing paper (tonnes),"2,612,000"
2020,Printing and writing paper (tonnes),"2,252,000"
2021,Printing and writing paper (tonnes),"2,418,000"
1990,Wood pulp (tonnes),"22,604,000"
1991,Wood pulp (tonnes),"23,095,000"
1992,Wood pulp (tonnes),"22,654,000"
1993,Wood pulp (tonnes),"22,895,000"
1994,Wood pulp (tonnes),"24,648,000"
1995,Wood pulp (tonnes),"25,402,000"
1996,Wood pulp (tonnes),"24,352,000"
1997,Wood pulp (tonnes),"25,071,000"
1998,Wood pulp (tonnes),"23,978,000"
1999,Wood pulp (tonnes),"26,024,000"
2000,Wood pulp (tonnes),"26,871,000"
2001,Wood pulp (tonnes),"24,869,000"
2002,Wood pulp (tonnes),"25,521,000"
2003,Wood pulp (tonnes),"25,963,000"
2004,Wood pulp (tonnes),"26,238,000"
2005,Wood pulp (tonnes),"25,310,000"
2006,Wood pulp (tonnes),"23,440,000"
2007,Wood pulp (tonnes),"22,106,000"
2008,Wood pulp (tonnes),"20,366,000"
2009,Wood pulp (tonnes),"17,095,000"
2010,Wood pulp (tonnes),"18,536,000"
2011,Wood pulp (tonnes),"18,287,000"
2012,Wood pulp (tonnes),"17,149,000"
2013,Wood pulp (tonnes),"17,254,000"
2014,Wood pulp (tonnes),"16,960,000"
2015,Wood pulp (tonnes),"16,551,000"
2016,Wood pulp (tonnes),"16,508,000"
2017,Wood pulp (tonnes),"16,297,000"
2018,Wood pulp (tonnes),"16,210,000"
2019,Wood pulp (tonnes),"15,440,000"
2020,Wood pulp (tonnes),"14,299,000"
2021,Wood pulp (tonnes),"14,266,000"
1990,Structural panels (plywood and oriented strandboard) (cubic metres),"3,893,560"
1991,Structural panels (plywood and oriented strandboard) (cubic metres),"3,274,130"
1992,Structural panels (plywood and oriented strandboard) (cubic metres),"4,159,030"
1993,Structural panels (plywood and oriented strandboard) (cubic metres),"4,601,480"
1994,Structural panels (plywood and oriented strandboard) (cubic metres),"4,849,252"
1995,Structural panels (plywood and oriented strandboard) (cubic metres),"5,157,197"
1996,Structural panels (plywood and oriented strandboard) (cubic metres),"6,611,088"
1997,Structural panels (plywood and oriented strandboard) (cubic metres),"7,484,484"
1998,Structural panels (plywood and oriented strandboard) (cubic metres),"8,623,351"
1999,Structural panels (plywood and oriented strandboard) (cubic metres),"9,537,452"
2000,Structural panels (plywood and oriented strandboard) (cubic metres),"9,685,231"
2001,Structural panels (plywood and oriented strandboard) (cubic metres),"9,989,636"
2002,Structural panels (plywood and oriented strandboard) (cubic metres),"10,380,762"
2003,Structural panels (plywood and oriented strandboard) (cubic metres),"11,090,452"
2004,Structural panels (plywood and oriented strandboard) (cubic metres),"12,168,260"
2005,Structural panels (plywood and oriented strandboard) (cubic metres),"12,216,929"
2006,Structural panels (plywood and oriented strandboard) (cubic metres),"12,393,025"
2007,Structural panels (plywood and oriented strandboard) (cubic metres),"10,180,775"
2008,Structural panels (plywood and oriented strandboard) (cubic metres),"6,611,088"
2009,Structural panels (plywood and oriented strandboard) (cubic metres),"5,385,501"
2010,Structural panels (plywood and oriented strandboard) (cubic metres),"5,992,543"
2011,Structural panels (plywood and oriented strandboard) (cubic metres),"6,247,394"
2012,Structural panels (plywood and oriented strandboard) (cubic metres),"6,695,153"
2013,Structural panels (plywood and oriented strandboard) (cubic metres),"7,132,294"
2014,Structural panels (plywood and oriented strandboard) (cubic metres),"7,687,126"
2015,Structural panels (plywood and oriented strandboard) (cubic metres),"7,966,764"
2016,Structural panels (plywood and oriented strandboard) (cubic metres),"8,728,664"
2017,Structural panels (plywood and oriented strandboard) (cubic metres),"8,917,148"
2018,Structural panels (plywood and oriented strandboard) (cubic metres),"9,171,115"
2019,Structural panels (plywood and oriented strandboard) (cubic metres),"8,453,460"
2020,Structural panels (plywood and oriented strandboard) (cubic metres),"8,301,257"
2021,Structural panels (plywood and oriented strandboard) (cubic metres),"8,938,385"
