Year,Industry,Nominal,Real
2014,Forestry and logging,"3,728,000,000","4,210,000,000"
2014,Pulp and paper manufacturing,"7,927,000,000","7,547,000,000"
2014,Wood product manufacturing,"8,724,000,000","8,124,000,000"
2015,All industries,"1,856,809,000,000","1,820,025,916,667"
2015,Forestry and logging,"3,985,000,000","4,259,000,000"
2015,Pulp and paper manufacturing,"8,581,000,000","7,857,000,000"
2015,Wood product manufacturing,"8,961,000,000","8,394,000,000"
2016,All industries,"1,886,103,000,000","1,839,614,166,667"
2016,Forestry and logging,"4,086,000,000","4,030,000,000"
2016,Pulp and paper manufacturing,"8,607,000,000","7,647,000,000"
2016,Wood product manufacturing,"9,990,000,000","8,872,000,000"
2017,All industries,"1,991,534,000,000","1,901,971,083,333"
2017,Forestry and logging,"4,515,000,000","3,975,000,000"
2017,Pulp and paper manufacturing,"8,837,000,000","7,406,000,000"
2017,Wood product manufacturing,"11,122,000,000","8,756,000,000"
2018,All industries,"2,083,379,000,000","1,958,470,166,667"
2018,Forestry and logging,"4,816,000,000","4,122,000,000"
2018,Pulp and paper manufacturing,"10,469,000,000","7,223,000,000"
2018,Wood product manufacturing,"11,862,000,000","8,729,000,000"
2019,All industries,"2,161,924,000,000","1,996,743,916,667"
2019,Forestry and logging,"4,278,000,000","3,574,000,000"
2019,Pulp and paper manufacturing,"9,217,000,000","6,691,000,000"
2019,Wood product manufacturing,"9,335,000,000","8,792,000,000"
2020,All industries,"2,045,234,006,512","1,897,187,250,000"
2020,Forestry and logging,"4,046,941,721","3,520,000,000"
2020,Pulp and paper manufacturing,"8,921,029,549","6,716,000,000"
2020,Wood product manufacturing,"10,748,231,265","8,599,000,000"
2021,All industries,"2,445,470,254,334","1,991,978,083,333"
2021,Forestry and logging,"5,304,366,755","3,666,000,000"
2021,Pulp and paper manufacturing,"9,436,292,177","6,747,000,000"
2021,Wood product manufacturing,"16,541,338,973","9,478,000,000"
2022,All industries,"2,859,817,997,389","2,064,387,833,333"
2022,Forestry and logging,"5,896,921,860","3,290,000,000"
2022,Pulp and paper manufacturing,"10,434,080,878","6,528,000,000"
2022,Wood product manufacturing,"17,038,984,824","10,079,000,000"
